id,license_groups,chapter,chapter_name,question,option1,option2,option3,option4,answer_index,answer,is_critical,source_page,has_original_image
17,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Thiết bị an toàn cho trẻ em được hiểu như thế nào là đúng?,"Là thiết bị có đủ khả năng bảo đảm an toàn cho trẻ em ở tư thế ngồi hoặc nằm trên xe ô tô, được thiết kế để giảm nguy cơ chấn thương cho người dùng trong trường hợp xảy ra va chạm hoặc xe ô tô giảm tốc độ đột ngột, bằng cách hạn chế sự di chuyển của cơ thể trẻ em.","Là thiết bị có đủ khả năng bảo đảm an toàn cho trẻ em ở tư thế đứng hoặc nằm trên xe ô tô, được thiết kế để giảm nguy cơ chấn thương cho người dùng trong trường hợp xe ô tô lưu thông bình thường.",,,1,"Là thiết bị có đủ khả năng bảo đảm an toàn cho trẻ em ở tư thế ngồi hoặc nằm trên xe ô tô, được thiết kế để giảm nguy cơ chấn thương cho người dùng trong trường hợp xảy ra va chạm hoặc xe ô tô giảm tốc độ đột ngột, bằng cách hạn chế sự di chuyển của cơ thể trẻ em.",False,8,False
18,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Theo chức năng phục vụ thì đường bộ được phân loại như thế nào?,"Đường chính, đường nhánh, đường gom, đường bên, đường dành cho giao thông công cộng, đường nội bộ, đường dành riêng cho người đi bộ, người đi xe đạp và các đường khác.","Đường chính, đường nhánh, đường gom, đường dành cho giao thông công cộng, đường nội bộ, đường dành riêng cho người đi bộ, người đi xe đạp và các đường khác.","Đường chính, đường nhánh, đường gom, đường bên, đường dành cho giao thông công cộng, đường dành riêng cho người đi bộ, người đi xe đạp và các đường khác.",,1,"Đường chính, đường nhánh, đường gom, đường bên, đường dành cho giao thông công cộng, đường nội bộ, đường dành riêng cho người đi bộ, người đi xe đạp và các đường khác.",False,8,False
19,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi nào dưới đây bị nghiêm cấm?,Sử dụng xe đạp đi trên các tuyến quốc lộ.,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",Cả hai ý trên.,,2,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",False,8,False
20,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Hành vi đưa xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ nào dưới đây bị cấm?",Không có chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường.,Hết niên hạn sử dụng.,Cả hai ý trên.,,3,Cả hai ý trên.,False,8,False
21,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Tổ chức đua xe được phép thực hiện khi nào?,Trên đường phố không có người qua lại.,Được người dân ủng hộ.,Được cơ quan có thẩm quyền cấp phép.,,3,Được cơ quan có thẩm quyền cấp phép.,False,8,False
22,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi đua xe trái phép bị xử lý như thế nào?,Chỉ bị nhắc nhở.,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,,,2,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,False,8,False
23,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi của người điều khiển xe ô tô và các loại xe tương tự khi tham gia giao thông đường bộ mà trong cơ thể có chất ma túy thì bị áp dụng hình thức xử phạt vi phạm hành chính nào dưới đây?,Bị phạt tiền.,Bị tước giấy phép lái xe.,Cả hai ý trên.,,3,Cả hai ý trên.,False,9,False
24,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?,Bị nghiêm cấm.,Không bị nghiêm cấm.,"Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",,1,Bị nghiêm cấm.,False,9,False
25,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi của người điều khiển xe ô tô và các loại xe tương tự khi tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn thì bị áp dụng hình thức xử phạt vi phạm hành chính nào dưới đây?,Bị phạt tiền.,Có thể bị tước giấy phép lái xe.,Cả hai ý trên.,,3,Cả hai ý trên.,False,9,False
26,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Theo Luật Phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?","Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",Người được chở trên xe cơ giới.,Cả hai ý trên.,,1,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",False,9,False
27,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Hành vi giao xe ô tô, mô tô cho người nào sau đây tham gia giao thông đường bộ bị nghiêm cấm?",Người chưa đủ tuổi theo quy định.,Người không có giấy phép lái xe.,Người có giấy phép lái xe nhưng đã bị trừ hết 12 điểm.,Cả ba ý trên.,4,Cả ba ý trên.,False,9,False
28,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi nào sau đây bị nghiêm cấm?,"Điều khiển xe cơ giới lạng lách, đánh võng, rú ga liên tục khi tham gia giao thông trên đường.","Xúc phạm, đe dọa, cản trở, chống đối hoặc không chấp hành hiệu lệnh, hướng dẫn, yêu cầu kiểm tra, kiểm soát của người thi hành công vụ về bảo đảm trật tự, an toàn giao thông đường bộ.",Cả hai ý trên.,,3,Cả hai ý trên.,False,9,False
29,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Các hành vi nào sau đây bị cấm đối với phương tiện tham gia giao thông đường bộ?,"Cải tạo xe ô tô loại khác thành xe ô tô chở người phục vụ mục đích quốc phòng, an ninh.","Cải tạo trái phép; cố ý can thiệp làm sai lệch chỉ số trên đồng hồ báo quãng đường đã chạy của xe ô tô; cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số động cơ của xe cơ giới, xe máy chuyên dùng.",,,2,"Cải tạo trái phép; cố ý can thiệp làm sai lệch chỉ số trên đồng hồ báo quãng đường đã chạy của xe ô tô; cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số động cơ của xe cơ giới, xe máy chuyên dùng.",False,10,False
30,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Hành vi nào sau đây bị cấm?,"Lắp đặt, sử dụng thiết bị âm thanh, ánh sáng trên xe cơ giới, xe máy chuyên dùng gây mất trật tự, an toàn giao thông đường bộ.","Cản trở người, phương tiện tham gia giao thông trên đường bộ; ném gạch, đất, đá, cát hoặc vật thể khác vào người, phương tiện đang tham gia giao thông trên đường bộ.",Cả hai ý trên.,,3,Cả hai ý trên.,False,10,False
31,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Việc sản xuất, sử dụng, mua, bán trái phép biển số xe có bị nghiêm cấm hay không?",Không bị nghiêm cấm.,Bị nghiêm cấm.,Bị nghiêm cấm tuỳ trường hợp.,,2,Bị nghiêm cấm.,False,10,False
32,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Khi điều khiển phương tiện tham gia giao thông, những hành vi nào dưới đây bị nghiêm cấm?",Thay đổi tốc độ của xe nhiều lần.,Điều khiển phương tiện sau 23 giờ trong ngày.,"Lạng lách, đánh võng, rú ga liên tục.",,3,"Lạng lách, đánh võng, rú ga liên tục.",False,10,False
33,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Có bao nhiêu nhóm biển báo hiệu đường bộ?,"Ba nhóm: Biển báo cấm, biển báo nguy hiểm và biển hiệu lệnh.","Bốn nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển phụ.","Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",,3,"Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",False,10,False
34,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Tại nơi có vạch kẻ đường hoặc tại nơi mà người đi bộ, xe lăn của người khuyết tật đang qua đường, người điều khiển phương tiện tham gia giao thông phải thực hiện như thế nào?","Giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường đảm bảo an toàn.","Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.","Quan sát, tăng tốc độ và điều khiển phương tiện nhanh chóng đi qua.",,2,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.",False,10,False
35,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Người điều khiển xe mô tô phải phải quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp nào dưới đây?","Đường hẹp, đường vòng, đường quanh co, đường đèo, dốc.","Nơi cầu, cống hẹp, đập tràn, đường ngầm, hầm chui, hầm đường bộ.","Trời mưa, gió, sương, khói, bụi, mặt đường trơn trượt, lầy lội, có nhiều đất đá, vật liệu rơi vãi ảnh hưởng đến an toàn giao thông đường bộ.",Cả ba ý trên.,4,Cả ba ý trên.,False,11,False
36,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,Người tham gia giao thông đường bộ ở các hướng phải dừng lại.,Người tham gia giao thông đường bộ ở các hướng được đi theo chiều gậy chỉ của Cảnh sát giao thông.,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển được đi tất cả các hướng; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển phải dừng lại.,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,4,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,False,11,True
37,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,"Người tham gia giao thông đường bộ ở phía sau Cảnh sát giao thông được đi, các hướng khác phải dừng lại.",Người tham gia giao thông đường bộ được rẽ phải theo chiều mũi tên màu xanh ở bục Cảnh sát giao thông.,"Người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại, trừ các xe đã ở trong khu vực giao nhau.","Người tham gia giao thông đường bộ ở phía trước Cảnh sát giao thông phải dừng lại, các hướng khác được đi.",3,"Người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại, trừ các xe đã ở trong khu vực giao nhau.",False,11,True
38,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Khi hiệu lệnh của người điều khiển giao thông trái với tín hiệu đèn giao thông hoặc biển báo hiệu đường bộ thì người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ nào dưới đây?,Theo hiệu lệnh của người điều khiển giao thông.,Theo tín hiệu đèn giao thông.,Theo biển báo hiệu đường bộ.,,1,Theo hiệu lệnh của người điều khiển giao thông.,False,12,False
39,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Khi ở một vị trí vừa có biển báo hiệu đặt cố định vừa có biển báo hiệu tạm thời mà hai biển có ý nghĩa khác nhau, người tham gia giao thông đường bộ phải chấp hành hiệu lệnh của biển báo hiệu nào?",Biển báo hiệu đặt cố định.,Biển báo hiệu tạm thời.,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn.,,2,Biển báo hiệu tạm thời.,False,12,False
40,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu màu vàng, người điều khiển phương tiện tham gia giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?","Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",Tăng tốc độ nhanh chóng vượt qua nút giao.,"Quan sát, giảm tốc độ, từ từ vượt qua nút giao.",,1,"Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",False,12,False
41,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Người lái xe trên đường cần chấp hành quy định về tốc độ tối đa như thế nào?,Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,Chỉ lớn hơn tốc độ tối đa cho phép khi vào ban đêm.,Không vượt quá tốc độ tối đa cho phép.,,3,Không vượt quá tốc độ tối đa cho phép.,False,13,False
42,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Khi chở trẻ em dưới 10 tuổi và chiều cao dưới 1,35 mét trên xe ô tô, người lái xe phải thực hiện quy tắc nào dưới đây để bảo đảm an toàn?","Không được cho trẻ em ngồi cùng hàng ghế với người lái xe, trừ loại xe ô tô chỉ có một hàng ghế; người lái xe phải sử dụng, hướng dẫn sử dụng thiết bị an toàn phù hợp cho trẻ em.","Cho trẻ em ngồi cùng hàng ghế với người lái xe, người lái xe phải sử dụng, hướng dẫn sử dụng thiết bị an toàn phù hợp cho trẻ em.",,,1,"Không được cho trẻ em ngồi cùng hàng ghế với người lái xe, trừ loại xe ô tô chỉ có một hàng ghế; người lái xe phải sử dụng, hướng dẫn sử dụng thiết bị an toàn phù hợp cho trẻ em.",False,13,False
43,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,Đi về bên trái theo chiều đi của mình.,Đi về bên phải theo chiều đi của mình.,Đi ở bất cứ bên nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,,2,Đi về bên phải theo chiều đi của mình.,False,13,False
44,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Trên một chiều đường có vạch kẻ phân làn đường, người lái xe cơ giới, xe máy chuyên dùng phải điều khiển xe đi trên làn đường nào?",Đi trên làn đường bên phải trong cùng.,Đi trên làn đường bên trái.,Đi ở bất cứ làn nào nhưng phải bảo đảm tốc độ cho phép.,,2,Đi trên làn đường bên trái.,False,13,False
45,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Người lái xe phải giảm tốc độ, có tín hiệu rẽ phải và đi sát về bên phải của phần đường xe chạy trong các trường hợp nào dưới đây?",Khi xe chạy phía trước có tín hiệu vượt xe khác.,Khi phía trước có xe chạy ngược chiều.,Khi xe sau xin vượt nếu đủ điều kiện an toàn.,Khi xe sau có tín hiệu vượt bên phải.,3,Khi xe sau xin vượt nếu đủ điều kiện an toàn.,False,13,False
46,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,Vượt xe là gì?,"Là tình huống giao thông trên đường mà mỗi chiều đường xe chạy chỉ có một làn đường dành cho xe cơ giới, xe đi phía sau di chuyển sang bên trái để di chuyển lên trước xe phía trước.","Là tình huống giao thông trên đường có từ hai làn đường dành cho xe cơ giới cùng chiều trở lên được phân biệt bằng vạch kẻ đường, xe đi phía sau di chuyển lên trước xe phía trước theo quy tắc sử dụng làn đường.",,,1,"Là tình huống giao thông trên đường mà mỗi chiều đường xe chạy chỉ có một làn đường dành cho xe cơ giới, xe đi phía sau di chuyển sang bên trái để di chuyển lên trước xe phía trước.",False,13,False
47,B/C/D/E/FC;A1/A;B1,1,Quy định chung và quy tắc giao thông đường bộ,"Người lái xe được phép vượt xe trên cầu hẹp có một làn đường, đường cong có tầm nhìn bị hạn chế hay không?",Được phép vượt khi đường vắng.,Không được phép vượt.,Được phép vượt khi có việc gấp.,,2,Không được phép vượt.,False,14,False
